Scope,Method,Runs,K Target Avg,Avg Final K,Avg Final K Gap,Avg Final D,Avg Budget K @ 1200s,Avg Budget K Gap @ 1200s,Avg Budget D @ 1200s,K Success Rate,K Median Hit Time (s),Gap 100% Target K Avg,Gap 100% K Success Rate,Gap 100% K Median Hit Time (s),Gap 150% Target K Avg,Gap 150% K Success Rate,Gap 150% K Median Hit Time (s),Gap 200% Target K Avg,Gap 200% K Success Rate,Gap 200% K Median Hit Time (s),Gap 250% Target K Avg,Gap 250% K Success Rate,Gap 250% K Median Hit Time (s),Gap 300% Target K Avg,Gap 300% K Success Rate,Gap 300% K Median Hit Time (s),Gap 100% Target Distance Avg,Gap 100% Success Rate,Gap 100% Median Hit Time (s),Gap 150% Target Distance Avg,Gap 150% Success Rate,Gap 150% Median Hit Time (s),Gap 200% Target Distance Avg,Gap 200% Success Rate,Gap 200% Median Hit Time (s),Gap 250% Target Distance Avg,Gap 250% Success Rate,Gap 250% Median Hit Time (s),Gap 300% Target Distance Avg,Gap 300% Success Rate,Gap 300% Median Hit Time (s)
R2,MAS_RL_WARM,2,3.5,11.5,8.0,1642.6883257656384,11.5,8.0,1642.6883257656384,0.0,,7.0,0.0,,9.0,0.0,,10.5,0.0,,12.5,1.0,197.0625,14.0,1.0,113.1796875,2444.0741902936893,1.0,157.2734375,3055.0927378671117,1.0,66.4140625,3666.1112854405337,1.0,10.9296875,4277.129833013956,1.0,10.9296875,4888.148380587379,1.0,10.9296875
RC1,SA,2,11.5,19.0,7.5,2089.4550311218036,20.0,8.5,2591.8605918644,0.0,,23.0,1.0,281.640625,29.0,1.0,28.3515625,34.5,1.0,28.3515625,40.5,1.0,28.3515625,46.0,1.0,28.3515625,2816.4190982200907,1.0,809.921875,3520.523872775113,1.0,106.96875,4224.628647330136,1.0,28.3515625,4928.733421885158,1.0,28.3515625,5632.8381964401815,1.0,11.0
RC1,TS,2,11.5,20.0,8.5,2323.271796568068,20.0,8.5,2323.271796568068,0.0,,23.0,1.0,95.40625,29.0,1.0,32.59375,34.5,1.0,15.6171875,40.5,1.0,8.3203125,46.0,1.0,4.6484375,2816.4190982200907,1.0,71.9609375,3520.523872775113,1.0,33.140625,4224.628647330136,1.0,15.296875,4928.733421885158,1.0,8.4609375,5632.8381964401815,1.0,2.0859375
RC1,GA,2,11.5,25.0,13.5,3196.6904397385283,25.0,13.5,3223.914259921781,0.0,,23.0,0.0,,29.0,1.0,106.796875,34.5,1.0,41.671875,40.5,1.0,14.4921875,46.0,1.0,2.5703125,2816.4190982200907,0.0,,3520.523872775113,0.5,111.46875,4224.628647330136,1.0,53.1796875,4928.733421885158,1.0,11.5,5632.8381964401815,1.0,1.1328125
RC1,MAS,2,11.5,21.0,9.5,2099.4823594500704,21.0,9.5,2136.2583784383914,0.0,,23.0,1.0,493.765625,29.0,1.0,104.3828125,34.5,1.0,31.890625,40.5,1.0,12.359375,46.0,1.0,12.359375,2816.4190982200907,1.0,330.375,3520.523872775113,1.0,121.3828125,4224.628647330136,1.0,32.4609375,4928.733421885158,1.0,12.359375,5632.8381964401815,1.0,12.359375
RC1,MAS_RL,2,11.5,21.0,9.5,2127.4132436655364,21.0,9.5,2155.7753209648017,0.0,,23.0,1.0,392.59375,29.0,1.0,82.578125,34.5,1.0,23.09375,40.5,1.0,11.75,46.0,1.0,11.75,2816.4190982200907,1.0,278.7109375,3520.523872775113,1.0,114.125,4224.628647330136,1.0,35.4765625,4928.733421885158,1.0,11.75,5632.8381964401815,1.0,11.75
RC1,MAS_RL_WARM,2,11.5,21.0,9.5,2112.182722060481,21.0,9.5,2122.9590595815407,0.0,,23.0,1.0,354.65625,29.0,1.0,89.4609375,34.5,1.0,23.828125,40.5,1.0,12.2421875,46.0,1.0,12.2421875,2816.4190982200907,1.0,288.9921875,3520.523872775113,1.0,92.1640625,4224.628647330136,1.0,27.8359375,4928.733421885158,1.0,12.2421875,5632.8381964401815,1.0,12.2421875
RC2,SA,2,3.5,8.0,4.5,2059.957314425546,8.0,4.5,2224.2229680518803,0.0,,7.0,0.5,415.046875,9.0,1.0,501.421875,10.5,1.0,77.3828125,12.5,1.0,40.0703125,14.0,1.0,31.7734375,2205.403668383978,0.5,1017.296875,2756.754585479973,1.0,839.65625,3308.105502575967,1.0,454.6328125,3859.4564196719616,1.0,414.59375,4410.807336767956,1.0,282.1640625
RC2,TS,2,3.5,8.0,4.5,1965.306257390732,8.0,4.5,1965.306257390732,0.0,,7.0,0.5,124.515625,9.0,0.5,11.9375,10.5,1.0,66.7578125,12.5,1.0,42.4453125,14.0,1.0,31.1171875,2205.403668383978,1.0,90.3203125,2756.754585479973,1.0,26.390625,3308.105502575967,1.0,14.609375,3859.4564196719616,1.0,9.0390625,4410.807336767956,1.0,5.0703125
RC2,GA,2,3.5,10.5,7.0,3556.8558612053766,10.5,7.0,3556.8558612053766,0.0,,7.0,0.5,113.140625,9.0,0.5,13.59375,10.5,0.5,7.8125,12.5,0.5,1.453125,14.0,1.0,75.7421875,2205.403668383978,0.0,,2756.754585479973,0.0,,3308.105502575967,0.5,92.359375,3859.4564196719616,0.5,9.125,4410.807336767956,0.5,0.9375
RC2,MAS,2,3.5,8.5,5.0,1932.88350716968,8.5,5.0,1932.88350716968,0.0,,7.0,0.5,105.40625,9.0,0.5,21.859375,10.5,1.0,380.34375,12.5,1.0,122.15625,14.0,1.0,81.515625,2205.403668383978,0.5,324.875,2756.754585479973,1.0,166.578125,3308.105502575967,1.0,54.9296875,3859.4564196719616,1.0,31.8203125,4410.807336767956,1.0,25.7109375
RC2,MAS_RL,2,3.5,9.5,6.0,1914.7372420148206,9.5,6.0,1914.7372420148206,0.0,,7.0,0.5,83.140625,9.0,0.5,29.0,10.5,0.5,11.140625,12.5,1.0,87.4296875,14.0,1.0,75.9765625,2205.403668383978,0.5,273.96875,2756.754585479973,1.0,140.6796875,3308.105502575967,1.0,78.3515625,3859.4564196719616,1.0,28.609375,4410.807336767956,1.0,15.2109375
RC2,MAS_RL_WARM,2,3.5,8.5,5.0,1899.6791163955982,8.5,5.0,1899.6791163955982,0.0,,7.0,0.5,143.75,9.0,0.5,20.46875,10.5,1.0,295.15625,12.5,1.0,215.46875,14.0,1.0,64.6953125,2205.403668383978,1.0,275.78125,2756.754585479973,1.0,129.5625,3308.105502575967,1.0,47.265625,3859.4564196719616,1.0,32.734375,4410.807336767956,1.0,17.40625
ALL,SA,12,8.25,14.416666666666666,6.166666666666667,1978.5823983910213,14.75,6.5,2321.1056097460355,0.0,,16.5,0.5833333333333334,198.21875,20.916666666666668,0.8333333333333334,30.1328125,24.75,0.9166666666666666,25.546875,29.166666666666668,1.0,30.1328125,33.0,1.0,25.7109375,2240.6337524630553,0.5833333333333334,1017.296875,2800.792190578819,0.8333333333333334,165.1640625,3360.950628694583,0.9166666666666666,21.984375,3921.109066810346,1.0,28.3515625,4481.267504926111,1.0,11.0
ALL,TS,12,8.25,15.083333333333334,6.833333333333333,2112.7302532659414,15.083333333333334,6.833333333333333,2112.7302532659414,0.0,,16.5,0.5833333333333334,81.46875,20.916666666666668,0.6666666666666666,20.828125,24.75,0.9166666666666666,20.3125,29.166666666666668,0.9166666666666666,9.828125,33.0,0.9166666666666666,5.875,2240.6337524630553,0.6666666666666666,37.546875,2800.792190578819,0.75,18.75,3360.950628694583,0.9166666666666666,11.84375,3921.109066810346,0.9166666666666666,5.25,4481.267504926111,1.0,2.09375
ALL,GA,12,8.25,18.75,10.5,3205.0876533664064,18.833333333333332,10.583333333333334,3201.285253027319,0.0,,16.5,0.3333333333333333,103.3359375,20.916666666666668,0.5833333333333334,50.953125,24.75,0.5833333333333334,21.671875,29.166666666666668,0.8333333333333334,15.1875,33.0,0.9166666666666666,4.203125,2240.6337524630553,0.16666666666666666,114.7890625,2800.792190578819,0.4166666666666667,111.46875,3360.950628694583,0.5833333333333334,15.34375,3921.109066810346,0.5833333333333334,1.265625,4481.267504926111,0.75,1.203125
ALL,MAS,12,8.25,16.083333333333332,7.833333333333333,1988.9876177075441,16.416666666666668,8.166666666666666,1964.0526420304675,0.0,,16.5,0.5,139.7734375,20.916666666666668,0.5833333333333334,36.96875,24.75,0.75,22.390625,29.166666666666668,0.9166666666666666,14.375,33.0,0.9166666666666666,14.375,2240.6337524630553,0.5833333333333334,251.96875,2800.792190578819,0.8333333333333334,96.265625,3360.950628694583,0.9166666666666666,30.3125,3921.109066810346,1.0,13.796875,4481.267504926111,1.0,13.796875
ALL,MAS_RL,12,8.25,16.5,8.25,1893.1413779740433,16.5,8.25,1917.2738707810283,0.0,,16.5,0.5,110.078125,20.916666666666668,0.5833333333333334,33.703125,24.75,0.6666666666666666,19.7421875,29.166666666666668,0.9166666666666666,16.953125,33.0,0.9166666666666666,16.953125,2240.6337524630553,0.5833333333333334,212.453125,2800.792190578819,0.8333333333333334,79.1875,3360.950628694583,0.9166666666666666,19.796875,3921.109066810346,1.0,14.9921875,4481.267504926111,1.0,14.9921875
ALL,MAS_RL_WARM,12,8.25,16.416666666666668,8.166666666666666,1913.4939824042394,16.416666666666668,8.166666666666666,1917.7882440731198,0.0,,16.5,0.5,243.015625,20.916666666666668,0.5833333333333334,33.03125,24.75,0.6666666666666666,20.0078125,29.166666666666668,0.9166666666666666,14.0625,33.0,0.9166666666666666,14.0625,2240.6337524630553,0.6666666666666666,198.8984375,2800.792190578819,0.75,68.109375,3360.950628694583,0.9166666666666666,20.0,3921.109066810346,1.0,13.6015625,4481.267504926111,1.0,13.6015625
