group,instance,method,run,seed,runtime_sec,final_k,final_k_gap,final_d,budget_k,budget_k_gap,budget_d,k_target,k_hit_time_sec,k_target_gap_100,k_hit_time_sec_gap_100,k_target_gap_150,k_hit_time_sec_gap_150,k_target_gap_200,k_hit_time_sec_gap_200,k_target_gap_250,k_hit_time_sec_gap_250,k_target_gap_300,k_hit_time_sec_gap_300,d_target_gap_100,d_hit_time_sec_gap_100,d_target_gap_150,d_hit_time_sec_gap_150,d_target_gap_200,d_hit_time_sec_gap_200,d_target_gap_250,d_hit_time_sec_gap_250,d_target_gap_300,d_hit_time_sec_gap_300
R2,r201.txt,SA,2,2,505.84375,11,7.0,2091.7818548515793,11.0,7.0,2290.2527975209746,4,,8,,10,,12,109.453125,14,33.53125,16,21.234375,2504.7424431774416,440.046875,3130.928053971802,33.53125,3757.1136647661624,7.9375,4383.299275560523,0.015625,5009.484886354883,0.015625
R2,r201.txt,TS,1,1,542.90625,11,7.0,2123.113631820133,11.0,7.0,2130.635916693436,4,,8,,10,,12,393.359375,14,225.078125,16,94.671875,2504.7424431774416,30.140625,3130.928053971802,14.25,3757.1136647661624,5.171875,4383.299275560523,0.015625,5009.484886354883,0.015625
R2,r201.txt,TS,2,2,541.859375,11,7.0,2032.5100279567837,11.0,7.0,2032.5100279567837,4,,8,,10,,12,259.5625,14,144.84375,16,104.71875,2504.7424431774416,28.421875,3130.928053971802,14.40625,3757.1136647661624,4.734375,4383.299275560523,0.015625,5009.484886354883,0.015625
R2,r201.txt,GA,1,1,503.3125,14,10.0,3098.3131204625433,14.0,10.0,3098.3131204625433,4,,8,,10,,12,,14,161.203125,16,86.875,2504.7424431774416,,3130.928053971802,135.0625,3757.1136647661624,3.234375,4383.299275560523,0.8125,5009.484886354883,0.8125
R2,r201.txt,GA,2,2,499.828125,14,10.0,2895.543511656835,14.0,10.0,3515.2519918331777,4,,8,,10,,12,,14,158.359375,16,74.59375,2504.7424431774416,,3130.928053971802,487.8125,3757.1136647661624,8.421875,4383.299275560523,0.796875,5009.484886354883,0.796875
R2,r201.txt,MAS,1,1,446.859375,13,9.0,2241.71025054059,13.0,9.0,2241.71025054059,4,,8,,10,,12,,14,285.21875,16,100.1875,2504.7424431774416,234.0625,3130.928053971802,69.203125,3757.1136647661624,13.390625,4383.299275560523,13.390625,5009.484886354883,13.390625
R2,r201.txt,MAS,2,2,452.0625,15,11.0,1938.7597082912216,15.0,11.0,1938.7597082912216,4,,8,,10,,12,,14,,16,79.78125,2504.7424431774416,143.171875,3130.928053971802,25.46875,3757.1136647661624,13.609375,4383.299275560523,13.609375,5009.484886354883,13.609375
R2,r201.txt,MAS_RL,1,1,417.65625,12,8.0,2042.9274951842342,12.0,8.0,2042.9274951842342,4,,8,,10,,12,201.953125,14,103.453125,16,65.53125,2504.7424431774416,242.859375,3130.928053971802,36.171875,3757.1136647661624,13.0625,4383.299275560523,13.0625,5009.484886354883,13.0625
R2,r201.txt,MAS_RL,2,2,424.71875,12,8.0,2239.6640547344996,12.0,8.0,2239.6640547344996,4,,8,,10,,12,302.390625,14,141.828125,16,75.390625,2504.7424431774416,241.296875,3130.928053971802,57.859375,3757.1136647661624,13.625,4383.299275560523,13.625,5009.484886354883,13.625
RC1,rc102.txt,SA,1,1,686.46875,21,9.0,2293.592853597943,22.0,10.0,2726.1316529272653,12,,24,102.15625,30,28.0625,36,10.078125,42,10.078125,48,10.078125,3109.49448481817,279.9375,3886.8681060227123,28.0625,4664.241727227255,10.078125,5441.615348431797,10.078125,6218.98896963634,0.015625
RC1,rc102.txt,SA,2,2,708.65625,21,9.0,2339.3080250757776,24.0,12.0,2968.254289646902,12,,24,390.546875,30,45.671875,36,9.984375,42,9.984375,48,9.984375,3109.49448481817,224.84375,3886.8681060227123,28.015625,4664.241727227255,9.984375,5441.615348431797,9.984375,6218.98896963634,0.015625
RC1,rc102.txt,TS,1,1,696.5625,21,9.0,2527.0699110717264,21.0,9.0,2527.0699110717264,12,,24,89.25,30,31.6875,36,15.4375,42,10.0,48,6.703125,3109.49448481817,37.671875,3886.8681060227123,22.1875,4664.241727227255,10.0,5441.615348431797,3.109375,6218.98896963634,0.015625
RC1,rc102.txt,TS,2,2,703.375,21,9.0,2558.992356436858,23.0,11.0,2453.104843858429,12,,24,247.546875,30,40.125,36,15.015625,42,9.65625,48,5.046875,3109.49448481817,41.15625,3886.8681060227123,20.640625,4664.241727227255,9.03125,5441.615348431797,1.5,6218.98896963634,0.015625
RC1,rc102.txt,GA,1,1,680.390625,26,14.0,3282.2170112594836,29.0,17.0,3507.4008711484453,12,,24,,30,113.515625,36,42.828125,42,14.734375,48,2.984375,3109.49448481817,,3886.8681060227123,77.75,4664.241727227255,26.65625,5441.615348431797,0.984375,6218.98896963634,0.984375
RC1,rc102.txt,GA,2,2,677.21875,27,15.0,3338.523536441929,28.0,16.0,3338.690835769431,12,,24,,30,171.21875,36,50.296875,42,19.5625,48,6.765625,3109.49448481817,,3886.8681060227123,67.203125,4664.241727227255,16.953125,5441.615348431797,0.96875,6218.98896963634,0.96875
RC1,rc102.txt,MAS,1,1,580.328125,24,12.0,2697.259183280719,24.0,12.0,2724.981887165324,12,,24,280.5625,30,78.0625,36,17.171875,42,17.171875,48,17.171875,3109.49448481817,248.078125,3886.8681060227123,48.59375,4664.241727227255,17.171875,5441.615348431797,17.171875,6218.98896963634,17.171875
RC1,rc102.txt,MAS,2,2,592.359375,24,12.0,2580.1344144854816,25.0,13.0,2635.242904652133,12,,24,506.203125,30,89.234375,36,32.234375,42,16.90625,48,16.90625,3109.49448481817,252.875,3886.8681060227123,46.875,4664.241727227255,16.90625,5441.615348431797,16.90625,6218.98896963634,16.90625
RC1,rc102.txt,MAS_RL,1,1,560.484375,23,11.0,2506.888365750821,24.0,12.0,2540.8374807165205,12,,24,367.296875,30,71.609375,36,16.75,42,16.75,48,16.75,3109.49448481817,160.359375,3886.8681060227123,32.0,4664.241727227255,16.75,5441.615348431797,16.75,6218.98896963634,16.75
RC1,rc102.txt,MAS_RL,2,2,567.640625,24,12.0,2572.3294631462804,24.0,12.0,2720.199256170973,12,,24,461.296875,30,104.015625,36,31.71875,42,16.546875,48,16.546875,3109.49448481817,192.375,3886.8681060227123,47.640625,4664.241727227255,16.546875,5441.615348431797,16.546875,6218.98896963634,16.546875
RC2,rc201.txt,SA,1,1,514.65625,11,7.0,2339.871813126651,11.0,7.0,2569.5885463768273,4,,8,,10,,12,350.5625,14,87.953125,16,33.203125,2813.88017538237,455.3125,3517.3502192279625,356.0625,4220.820263073555,69.984375,4924.290306919147,7.4375,5627.76035076474,0.015625
RC2,rc201.txt,SA,2,2,552.375,11,7.0,2235.782285128293,11.0,7.0,2953.7975923059194,4,,8,,10,,12,310.765625,14,55.6875,16,42.515625,2813.88017538237,482.34375,3517.3502192279625,394.8125,4220.820263073555,21.90625,4924.290306919147,8.28125,5627.76035076474,0.015625
RC2,rc201.txt,TS,1,1,552.296875,11,7.0,2393.0326237101735,11.0,7.0,2393.0326237101735,4,,8,,10,,12,154.5625,14,82.453125,16,59.8125,2813.88017538237,39.03125,3517.3502192279625,18.453125,4220.820263073555,11.40625,4924.290306919147,5.15625,5627.76035076474,0.015625
RC2,rc201.txt,TS,2,2,575.53125,12,8.0,2400.6954435922003,13.0,9.0,2337.718772160003,4,,8,,10,,12,497.234375,14,259.328125,16,98.515625,2813.88017538237,54.890625,3517.3502192279625,23.5625,4220.820263073555,14.828125,4924.290306919147,7.375,5627.76035076474,0.0
RC2,rc201.txt,GA,1,1,508.25,15,11.0,3737.57037153323,15.0,11.0,3737.57037153323,4,,8,,10,,12,,14,,16,140.734375,2813.88017538237,,3517.3502192279625,,4220.820263073555,86.328125,4924.290306919147,8.515625,5627.76035076474,0.84375
RC2,rc201.txt,GA,2,2,508.625,15,11.0,4002.3605510730154,15.0,11.0,4002.3605510730154,4,,8,,10,,12,,14,,16,88.953125,2813.88017538237,,3517.3502192279625,,4220.820263073555,48.296875,4924.290306919147,5.53125,5627.76035076474,0.8125
RC2,rc201.txt,MAS,1,1,446.484375,14,10.0,2566.8870178432358,14.0,10.0,2566.8870178432358,4,,8,,10,,12,,14,194.78125,16,71.140625,2813.88017538237,310.328125,3517.3502192279625,149.1875,4220.820263073555,71.140625,4924.290306919147,13.84375,5627.76035076474,13.84375
RC2,rc201.txt,MAS,2,2,449.28125,13,9.0,2462.302322350072,13.0,9.0,2462.302322350072,4,,8,,10,,12,,14,205.59375,16,139.796875,2813.88017538237,298.421875,3517.3502192279625,119.671875,4220.820263073555,13.109375,4924.290306919147,13.109375,5627.76035076474,13.109375
RC2,rc201.txt,MAS_RL,1,1,428.609375,14,10.0,2590.0012466169383,14.0,10.0,2590.0012466169383,4,,8,,10,,12,,14,305.203125,16,106.609375,2813.88017538237,336.828125,3517.3502192279625,154.25,4220.820263073555,47.0625,4924.290306919147,13.359375,5627.76035076474,13.359375
RC2,rc201.txt,MAS_RL,2,2,443.890625,12,8.0,3237.3510148229316,12.0,8.0,3237.3510148229316,4,,8,,10,,12,443.890625,14,285.265625,16,129.8125,2813.88017538237,,3517.3502192279625,174.75,4220.820263073555,13.0625,4924.290306919147,13.0625,5627.76035076474,13.0625
